Name,O_type,H_type,OH_type
MVC330,O6,H31,O6:H31
MVC610,O8,H16,O8:H16
MVC61,O4,H31,O4:H31
MVC633,O11,H25,O11:H25
MVC388,O1,H7,O1:H7
MVC587,OgN12,H18,OgN12:H18
MVC674,O4,H31,O4:H31
MVC67,O75,H7,O75:H7
MVC437,O4,H31,O4:H31
MVC475,O8,H7,O8:H7
MVC804,O11,H25,O11:H25
MVC175,O12,H40,O12:H40
MVC4,O86,H18,O86:H18
MVC99,ONT,H15,ONT:H15
MVC145,O102,H6,O102:H6
MVC276,O75,H7,O75:H7
MVC87,Onovel31,H4,Onovel31:H4
MVC62,ONT,H40,ONT:H40
MVC352,O1,H7,O1:H7
MVC428,ONT,H1,ONT:H1
MVC471,O4,H5,O4:H5
MVC601,Onovel31,H4,Onovel31:H4
MVC439,O83,H31,O83:H31
MVC198,O6,H31,O6:H31
MVC655,ONT,H1,ONT:H1
MVC376,O25,H1,O25:H1
MVC58,ONT,H5,ONT:H5
MVC263,O6,H1,O6:H1
MVC450,O4,H31,O4:H31
MVC130,O166,H11,O166:H11
MVC176,O136,H40,O136:H40
MVC121,O83,H31,O83:H31
MVC54,O128,H2,O128:H2
MVC481,O6,H31,O6:H31
MVC393,ONT,H18,ONT:H18
MVC365,O21,H14,O21:H14
MVC364,ONT,H1,ONT:H1
MVC565,O12,H2,O12:H2
MVC140,O66*,H25,O66*:H25
MVC535,O149,H45,O149:H45
MVC205,ONT,H31,ONT:H31
MVC368,O153var1,H34,O153var1:H34
MVC325,O7,H6,O7:H6
MVC207,O111,H4,O111:H4
MVC171,Onovel25,H40,Onovel25:H40
MVC275,O75,H7,O75:H7
MVC715,O6,H31,O6:H31
MVC297,O75,H7,O75:H7
MVC426,O21,H14,O21:H14
MVC563,ONT,H4,ONT:H4
MVC141,Onovel7,H7,Onovel7:H7
MVC122,Onovel10,H7,Onovel10:H7
MVC408,O8,H25,O8:H25
MVC561,O8,H9,O8:H9
MVC465,O75,H5,O75:H5
MVC119,O75,H7,O75:H7
MVC537,O75,H7,O75:H7
MVC285,O6,H31,O6:H31
MVC507,O4,H31,O4:H31
MVC274,O75*/O15-O75*,H7,O75*/O15-O75*:H7
MVC413,O75,H7,O75:H7
MVC704,O6,H7,O6:H7
MVC458,O25,H1,O25:H1
MVC564,O182,H23,O182:H23
MVC390,O83,H31,O83:H31
MVC570,O9,H9,O9:H9
MVC27,O83,H31,O83:H31
MVC513,O6,H31,O6:H31
MVC675,Onovel10,HNT,Onovel10:HNT
MVC212,O9,H10,O9:H10
MVC95,O83,H31,O83:H31
MVC339,O1,H7,O1:H7
MVC135,O15,H1,O15:H1
MVC571,O9,H9,O9:H9
MVC51,ONT,H6,ONT:H6
MVC532,O1,H6,O1:H6
MVC547,O75,H7,O75:H7
MVC624,O1,H6,O1:H6
MVC309,O4,H31,O4:H31
MVC366,ONT,H6,ONT:H6
MVC424,O6,H31,O6:H31
MVC577,O6,H10,O6:H10
MVC42,ONT,H1,ONT:H1
MVC66,O75,H7,O75:H7
MVC391,O25,H1,O25:H1
MVC557,O8,H9,O8:H9
MVC536,O75,H5,O75:H5
MVC618,Onovel31,H4,Onovel31:H4
MVC623,O6,H31,O6:H31
MVC127,ONT,H34,ONT:H34
MVC116,Onovel31,H4,Onovel31:H4
MVC209,O4,H5,O4:H5
MVC592,O1,H7,O1:H7
MVC59,O16,H48,O16:H48
MVC315,ONT,H6,ONT:H6
MVC103,O9,H9,O9:H9
MVC501,ONT,H7,ONT:H7
MVC73,O55,H7,O55:H7
MVC795,ONT,H41,ONT:H41
MVC328,ONT,HNT,ONT:HNT
MVC411,O75,H7,O75:H7
MVC48,O4,H31,O4:H31
MVC31,O6,H31,O6:H31
MVC118,O10,H42,O10:H42
MVC524,O6,H31,O6:H31
MVC138,O4,H31,O4:H31
MVC53,O25,H51,O25:H51
MVC306,O6,H31,O6:H31
MVC778,O9,H25,O9:H25
MVC56,O9/Onovel22,H4,O9/Onovel22:H4
MVC139,O22,H5,O22:H5
MVC270,ONT,H1,ONT:H1
MVC378_P3,O25-O4,H31,O25-O4:H31
MVC381,O4,H56,O4:H56
MVC469,ONT,H6,ONT:H6
MVC652,O8,H4,O8:H4
MVC55,O9/Onovel22,H4,O9/Onovel22:H4
MVC431,O8,H10,O8:H10
MVC278,O22,H1,O22:H1
MVC206,O88,H31,O88:H31
MVC692,O25,H1,O25:H1
MVC110,O9,H9,O9:H9
MVC420,O9/Onovel22*/O4-Onovel22*,H4,O9/Onovel22*/O4-Onovel22*:H4
MVC223,ONT,H1,ONT:H1
MVC556,O6,H31,O6:H31
MVC386,O6,H31,O6:H31
MVC327,O83,H31,O83:H31
MVC738,O8,H4,O8:H4
MVC164,O6,H1,O6:H1
MVC234,O4,H31,O4:H31
MVC779,O25,H1,O25:H1
MVC755,O96,H7,O96:H7
MVC227,O180,H14,O180:H14
MVC219,O7,H15,O7:H15
MVC496,O112,H2,O112:H2
MVC5,O39,H21,O39:H21
MVC793,O45,H18,O45:H18
MVC486,O6,H31,O6:H31
MVC321,O3,H10,O3:H10
MVC18,O83,H31,O83:H31
MVC32,O6,H31,O6:H31
MVC492,O75,H5,O75:H5
MVC412,O75,H7,O75:H7
MVC108,O4,H31,O4:H31
MVC392,O6,H1,O6:H1
MVC641,O8,H4,O8:H4
MVC416,O21,H14,O21:H14
MVC447,O6,H1,O6:H1
MVC183,O75,H5,O75:H5
MVC57,O9/O88-Onovel22,H38-H4,O9/O88-Onovel22:H38-H4
MVC803,O9,H25,O9:H25
MVC82,O86,H18,O86:H18
MVC780,O4,H31,O4:H31
MVC484,O4,H5,O4:H5
MVC374,O4,H31,O4:H31
MVC474,O120,H15,O120:H15
MVC747,ONT,H18,ONT:H18
MVC369,O78,H4,O78:H4
MVC10,O8/O112,H24,O8/O112:H24
MVC102,Onovel31,H4,Onovel31:H4
MVC45,O6*,H1,O6*:H1
MVC498,ONT,H5,ONT:H5
MVC100,ONT,H6,ONT:H6
MVC745,O4,H31,O4:H31
MVC760,ONT,H7,ONT:H7
MVC681,O55,H7,O55:H7
MVC360,O88,H25,O88:H25
MVC479,O102,H6,O102:H6
MVC387,O4,H31,O4:H31
MVC407,O83,H1,O83:H1
MVC759,OgN12,H18,OgN12:H18
MVC608,O8/O8,H40,O8/O8:H40
MVC370,ONT,HNT,ONT:HNT
MVC599,O6,H31,O6:H31
MVC794,ONT,H49,ONT:H49
MVC586,ONT,H31,ONT:H31
MVC63,O4,H31,O4:H31
MVC510,ONT,H18,ONT:H18
MVC89,ONT,HNT,ONT:HNT
MVC217,O9/OgN12,H10-H18,O9/OgN12:H10-H18
MVC33,Onovel32,H25,Onovel32:H25
MVC154,O9/Onovel22,H4,O9/Onovel22:H4
MVC687,O4,H5,O4:H5
MVC117,O10,H42,O10:H42
MVC47,O7,H6,O7:H6
MVC631,O8,H4,O8:H4
MVC210,O9,H10,O9:H10
MVC506,O1,H6,O1:H6
MVC152,O4,H31,O4:H31
MVC572,ONT,H18,ONT:H18
MVC329,O75,H7,O75:H7
MVC452,O4,H5,O4:H5
MVC446,O126,H27,O126:H27
MVC184,O103,H2,O103:H2
MVC257,O15,H6,O15:H6
MVC550,O148,H8,O148:H8
MVC508,O1,H6,O1:H6
MVC292,O9,H30,O9:H30
MVC287,O6,H1,O6:H1
MVC215,O143,H4,O143:H4
MVC182,O39,H28,O39:H28
MVC222,O4,H5,O4:H5
MVC79,O8,H49,O8:H49
MVC16,O8,H10,O8:H10
MVC93,O83,H31,O83:H31
MVC551,ONT,H8,ONT:H8
MVC523,O6,H31,O6:H31
MVC410,O1,H7,O1:H7
MVC346,O4,H5,O4:H5
MVC202,O75,H7,O75:H7
MVC427,O6,H1,O6:H1
MVC480,ONT,H14,ONT:H14
MVC629,O4,H31,O4:H31
MVC414,O4,H31,O4:H31
MVC300,O75,H7,O75:H7
MVC694,OgN12,H18,OgN12:H18
MVC476,O75,H5,O75:H5
MVC417,O4,H5,O4:H5
MVC628,O4,H31,O4:H31
MVC660,O4,H31,O4:H31
MVC786,O4,H5,O4:H5
MVC545,Onovel31,H4,Onovel31:H4
MVC378_P5,O4,H31,O4:H31
MVC763,OgN12,H18,OgN12:H18
MVC211,ONT,H4,ONT:H4
MVC562,O143,H4,O143:H4
MVC224,O1,H15,O1:H15
MVC266,O88,H31,O88:H31
MVC499,O4,H31,O4:H31
MVC460,O83,H31,O83:H31
MVC799,O4,H31,O4:H31
MVC401,O21,H14,O21:H14
MVC415,O25,H1,O25:H1
MVC771,O120,H31,O120:H31
MVC269,ONT,H6,ONT:H6
MVC126,O5,H4,O5:H4
MVC438,O6,H31,O6:H31
MVC542,O21,H14,O21:H14
MVC340,O4,H5,O4:H5
MVC497,O25,H1,O25:H1
MVC468,ONT,H6,ONT:H6
MVC552,O4,H31,O4:H31
MVC456,ONT,H41,ONT:H41
MVC254,O21,H14,O21:H14
MVC594,O45,H9,O45:H9
MVC243,ONT,H18,ONT:H18
MVC666,O6,H31,O6:H31
MVC454,O3,H34,O3:H34
MVC85,ONT,H6,ONT:H6
MVC49,O9,H30,O9:H30
MVC249,O6,H1,O6:H1
MVC435,O9/Onovel22,H4,O9/Onovel22:H4
MVC463,O83,H4,O83:H4
MVC746,O6,H31,O6:H31
MVC324,O4,H31,O4:H31
MVC614,ONT,H1,ONT:H1
MVC71,O4,H5,O4:H5
MVC107,O4,H31,O4:H31
MVC367,O22,H1,O22:H1
MVC815,O86,H18,O86:H18
MVC423,O4,H31-H5,O4:H31-H5
MVC225,O4,H5,O4:H5
MVC272,O15,H31,O15:H31
MVC296,ONT,H1,ONT:H1
MVC148,O8,H4,O8:H4
MVC421,ONT,HNT,ONT:HNT
MVC35,O6,H31,O6:H31
MVC299,ONT,H38,ONT:H38
MVC316,O4,H5,O4:H5
MVC347,O6,H31,O6:H31
MVC313,OgN12,H18,OgN12:H18
MVC9,O6,H31,O6:H31
MVC256,Onovel4,H21,Onovel4:H21
MVC308,O111,H4,O111:H4
MVC749,O179,H8,O179:H8
MVC553,Onovel31,H4,Onovel31:H4
MVC509,ONT,H18,ONT:H18
MVC693,O4,H5,O4:H5
MVC491,Onovel32,H10,Onovel32:H10
MVC515,O4,H31,O4:H31
MVC734,ONT,H18,ONT:H18
MVC286,O75,H31,O75:H31
MVC522,Onovel31,H4,Onovel31:H4
MVC214,O83,H31,O83:H31
MVC134,O6,H5,O6:H5
MVC657,O83,H31,O83:H31
MVC661,O4,H31,O4:H31
MVC282,O21,H14,O21:H14
MVC466,O75,H5,O75:H5
MVC239,O6,H1,O6:H1
MVC64,O86,H18,O86:H18
MVC253,O8/O155,H2,O8/O155:H2
MVC277,O22,H1,O22:H1
MVC626,O25,H1,O25:H1
MVC20,O83,H31,O83:H31
MVC279,O1,H18,O1:H18
MVC380,O4,H31,O4:H31
MVC136,O4,H31,O4:H31
MVC252,O83,H31,O83:H31
MVC434,O83,H31,O83:H31
MVC441,O25,H1,O25:H1
MVC30,O6,H31,O6:H31
MVC773,ONT,H28,ONT:H28
MVC600,ONT,H6,ONT:H6
MVC302,O6,H49,O6:H49
MVC405,Onovel31,H4,Onovel31:H4
MVC147,ONT,H37,ONT:H37
MVC445,O8,H7,O8:H7
MVC180,O21,H14,O21:H14
MVC98,O86,H18,O86:H18
MVC137,O81,H7,O81:H7
MVC761,OgN12,H11,OgN12:H11
MVC349,O75,H7,O75:H7
MVC514,Onovel10,H7,Onovel10:H7
MVC576,O75,H5,O75:H5
MVC788,O8/O8,H21,O8/O8:H21
MVC343,O75,H7,O75:H7
MVC91,ONT,H6,ONT:H6
MVC382,O4,H56,O4:H56
MVC478,O102,H6,O102:H6
MVC301,O75,H7,O75:H7
MVC356,O126,H23,O126:H23
MVC539,O83,H31,O83:H31
MVC549,O4,H31,O4:H31
MVC664,Onovel3,H4,Onovel3:H4
MVC151,O4,H5,O4:H5
MVC204,ONT,H31,ONT:H31
MVC422,O4,H31,O4:H31
MVC94,O4,H31,O4:H31
MVC307,Onovel10,H25,Onovel10:H25
MVC531,O15,H16,O15:H16
MVC482,O22,H1,O22:H1
MVC251,ONT,H9,ONT:H9
MVC331,O25,H1,O25:H1
MVC459,ONT,H8,ONT:H8
MVC612,O83,H5,O83:H5
MVC298,O6,H1,O6:H1
MVC448,ONT,H1,ONT:H1
MVC83,ONT,H6,ONT:H6
MVC262,O83,H31,O83:H31
MVC560,O83,H42,O83:H42
MVC494,O88,H31,O88:H31
MVC534,Onovel31,H4,Onovel31:H4
MVC526,O10,H42,O10:H42
MVC520,ONT,H28,ONT:H28
MVC60,O4,H31,O4:H31
MVC166,O83,H31,O83:H31
MVC597,ONT,H1,ONT:H1
MVC199,O45,H51,O45:H51
MVC109,O4,H5,O4:H5
MVC312,O120,H31,O120:H31
MVC619,O3,H34,O3:H34
MVC785,ONT,HNT,ONT:HNT
MVC404,ONT,H12,ONT:H12
MVC754,O179,H8,O179:H8
MVC777,O9,H25,O9:H25
MVC142,O24,H4,O24:H4
MVC530,O75,H5,O75:H5
MVC495,Onovel32,H10,Onovel32:H10
MVC29,O4,H31,O4:H31
MVC583,ONT,H7,ONT:H7
MVC359,O75,H7,O75:H7
MVC284,ONT,H51,ONT:H51
MVC682,O83,H31,O83:H31
MVC186,ONT,H56,ONT:H56
MVC304,O83,H31,O83:H31
MVC317,O4,H5,O4:H5
MVC1,ONT,H6,ONT:H6
MVC295,O6,H31,O6:H31
MVC133,O8,H4,O8:H4
MVC208,O11,H15,O11:H15
MVC538,O8-O9,H25-H4,O8-O9:H25-H4
MVC255,O75,H5,O75:H5
MVC6,O4,H5,O4:H5
MVC502,ONT,H9,ONT:H9
MVC525,O61,H34,O61:H34
MVC573,O8,H51,O8:H51